libe-book 0.1.3-14
libebml 1.4.4-1
libedit 20221030_3.1-1
libelf 0.189-1
libepoxy 1.5.10-2
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libexttextcat 3.4.6-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libgcrypt 1.10.2-1
libgdata 0.18.1-3
libgdm 44.1-1
libgee 0.20.6-1
libgexiv2 0.14.1-1
libgirepository 1.76.1-3
libgit2 1:1.6.4-1
libglvnd 1.6.0-1
libgme 0.6.3-4
libgnomekbd 1:3.28.1-1
libgoa 3.48.0-2
libgpg-error 1.47-1
libgphoto2 2.5.30-2
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.50-1
libgtop 2.41.1-1
libgudev 238-1
libgusb 0.4.6-1
libgweather-4 4.2.0-1
libgxps 0.3.2-4
libhandy 1.8.2-1
libheif 1.16.2-1
libibus 1.5.28-4
libical 3.0.16-5
libice 1.1.1-2
libid3tag 0.15.1b-12
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.1.1-1
libime 1.0.17-1
libimobiledevice 1.3.0-9
libinih 56-1
libinput 1.23.0-1
libinput-gestures 2.74-1
libinstpatch 1.1.6-2
libiptcdata 1.0.5-2
libisl 0.26-1
libixion 0.17.0-5
libjpeg-turbo 2.1.5.1-1
libjpeg6-turbo 1.5.3-2
libjxl 0.8.2-1
libkate 0.4.1-9
libksba 1.6.4-1
liblangtag 0.6.4-1
liblc3 1.0.3-1
libldac 2.0.2.3-1
libldap 2.6.4-2
liblphobos 3:1.32.2-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.45.0_0-1
libmad 0.15.1b-10
libmalcontent 0.11.1-2
libmanette 0.2.6-5
libmatroska 1.7.1-1
libmd 1.1.0-1
libmediaart 1.9.6-2
libmfx 23.2.2-1
libmicrodns 0.2.0-1
libmm-glib 1.20.6-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpeg2 0.5.1-8
libmspack 1:0.11alpha-1
libmspub 0.1.4-14
libmtp 1.1.21-1
libmwaw 0.3.22-1
libmysofa 1.3.1-2
libmythes 1:1.2.5-1
libnatpmp 20150609-3
libnautilus-extension-typeahead 1:42.2-3
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.5-1
libnghttp2 1.55.1-1
libnice 0.1.21-2
libnl 3.7.0-3
libnm 1.42.6-1
libnma 1.10.6-2
libnma-common 1.10.6-2
libnma-gtk4 1.10.6-2
libnotify 0.8.2-1
libnsl 2.0.0-3
libnumbertext 1.0.11-1
liboauth 1:1.0.3+r16+gc26f038-1
libodfgen 0.1.8-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.2-1
liborcus 0.17.2-5
libosinfo 1.10.0-3
libp11-kit 0.25.0-1
libpagemaker 0.0.4-3
libpaper 2.1.1-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpeas 1.36.0-2
libpgm 5.3.128-3
libpipeline 1.5.7-1
libpipewire 1:0.3.75-2
libplacebo 5.264.1-1
libplist 2.3.0-2
libpng 1.6.40-2
libportal 0.6-1
libportal-gtk3 0.6-1
libportal-gtk4 0.6-1
libproxy 0.5.3-1
libpsl 0.21.2-1
libpulse 16.1-6
libpwquality 1.4.5-3
libqxp 0.0.2-10
libraqm 0.10.1-1
libraw 0.21.1-2
libraw1394 2.1.2-3
libreoffice-fresh 7.5.5-1
librest 0.9.1-2
librevenge 0.0.5-2
librsvg 2:2.56.3-1
libsasl 2.1.28-4
libsbsms 2.3.0-3
libseccomp 2.5.4-2
libsecret 0.20.5-2
libshout 1:2.4.6-2
libsigc++ 2.12.0-1
libsigc++-3.0 3.4.0-1
libsm 1.2.4-1
libsndfile 1.2.0-1
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.4.2-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libsrtp 1:2.5.0-1
libssh 0.10.5-1
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2023.66984-15
libsysprof-capture 3.48.0-2
libtar 1.2.20-6
libtasn1 4.19.0-1
libteam 1.31-8
libtermkey 0.22-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.5.1-1
libtirpc 1.3.3-2
libtommath 1.2.0-4
libtool 2.4.7+4+g1ec8fa28-4
libtraceevent 1:1.7.3-1
libtracefs 1.7.0-1
libudev0-shim 1-4
libunistring 1.1-2
libunwind 1.6.2-2
libupnp 1.14.17-1
liburcu 0.14.0-1
libusb 1.0.26-2
libusbmuxd 2.0.2-3
libutempter 1.2.1-3
libutf8proc 2.8.0-1
libuv 1.46.0-1
libva 2.19.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvisio 0.1.7-9
libvorbis 1.3.7-3
libvpx 1.13.0-1
libvterm 0.3.2-1
libwacom 2.7.0-1
libwbclient 4.18.5-2
libwebp 1.3.1-1
libwireplumber 0.4.14-1
libwmf 0.2.13-1
libwpd 0.10.3-4
libwpe 1.14.1-2
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.6-1
libx86emu 3.5-3
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.15-2
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.11.4-1
libxmlb 0.3.11-1
libxmu 1.1.4-1
libxpm 3.5.16-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.3-4
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
libzmf 0.0.2-14
licenses 20220125-2
lilv 0.24.20-2
linux-api-headers 6.3-1
linux-firmware 20230724.59fbffa9-1
linux-firmware-whence 20230724.59fbffa9-1
linux419 4.19.289-1
linux419-headers 4.19.289-1
linux515 5.15.122-1
linux515-headers 5.15.122-1
linux61 6.1.41-1
linux61-headers 6.1.41-1
lld 15.0.7-2
llvm-libs 15.0.7-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lnav 0.11.2-1
log4cxx 1.1.0-1
lowdown 1.0.2-1
lpsolve 5.5.2.11-2
lsb-release 2.0.r48.3cf5103-1
lua 5.4.6-1
lua52 5.2.4-5
luajit 2.1.0.beta3.r493.g8635cbab-1
lv2 1.18.10-1
lvm2 2.03.21-1
lyx 2.3.7-2
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
mailnag 2.2.0-6
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.04-1
manjaro-asian-input-support-fcitx5 2022.04-1
manjaro-keyring 20230719-2
manjaro-release 23.0.0rc-2
manjaro-settings-manager 0.5.7-16
manjaro-tools-base-git r3016.263d640-1
marisa 0.2.6-10
mathematica 13.2.0-1
mbedtls2 2.28.3-3
md4c 0.4.8-1
mdadm 4.2-2
meld 3.22.0-2
mesa 23.0.4-3
miktex 23.5-2
miniupnpc 2.2.4-2
minizip 1:1.2.13-3
mjpegtools 2.2.1-2
mkinitcpio 36-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mod_dnssd 0.6-9
mpfr 4.2.0.p12-1
mpg123 1.31.3-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mutter 44.3-1
mythes-en 20221102-2
nautilus-typeahead 1:42.2-3
ncurses 6.4_20230520-1
ndctl 76.1-1
neon 0.32.5-2
neovim 0.9.1-2
net-tools 2.10-2
netease-cloud-music 1.2.1-8
netease-cloud-music-gtk4 2.2.0-1
nethogs 0.8.7-1
netpbm 10.73.43-1
nettle 3.9.1-1
networkmanager 1.42.6-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
nftables 1:1.0.7-2
nix 2.16.1-2
nix-busybox 1.35.0-1
nm-connection-editor 1.32.0-3
noto-fonts 1:23.7.1-1
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.91-1
ntfs-3g 2022.10.3-1
nushell 0.82.0-1
nuspell 5.1.2-3
nutstore 5.1.7-1
oath-toolkit 2.6.9-1
obsidian 1.3.5-1
ocl-icd 2.3.2-1
ocproxy-git 1.60.r9.gc98f06d-1
onetbb 2021.9.0-1
openal 1.23.1-1
openblas64 0.3.23-3
opencc 1.1.6-2
openconnect 1:9.12-1
opencore-amr 0.1.6-1
opencv 4.8.0-3
openexr 3.1.9-1
openjpeg2 2.5.0-2
openlibm 0.8.1-1
openmp 15.0.7-1
openmpi 4.1.5-2
openpmix 4.2.3-2
openresolv 3.13.2-1
openssh 9.3p2-1
openssl 3.1.1-1
openssl-1.1 1.1.1.u-1
openvpn 2.6.5-1
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
osinfo-db 20230518-1
ostree 2023.5-1
otf-latin-modern 2.004-4
otf-latinmodern-math 1.959-4
p11-kit 0.25.0-1
p7zip 1:17.05-1
pacman 6.0.2-13
pacman-mirrors 4.23.2+3+g4148c3d-1
pahole 1:1.25-4
pam 1.5.3-3
pam-python 1.0.8-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
pangomm-2.48 2.50.1-1
papirus-icon-theme 20230601-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 2.0.0-1
pdfarranger 1.10.0-1
perl 5.36.1-2
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.23-1
perl-timedate 2.33-4
perl-tk 804.036-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
perl-xml-writer 0.900-1
pinentry 1.2.1-1
pipewire 1:0.3.75-2
pipewire-alsa 1:0.3.75-2
pipewire-audio 1:0.3.75-2
pipewire-jack 1:0.3.75-2
pipewire-pulse 1:0.3.75-2
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
polkit 122-1
polkit-qt5 0.114.0-1
poppler 23.07.0-1
poppler-data 0.4.12-1
poppler-glib 23.07.0-1
poppler-qt5 23.07.0-1
poppler-qt6 23.07.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
portsmf 234-2
potrace 1.16-2
pps-tools 1.0.3-1
procps-ng 4.0.3-1
protobuf 23.4-1
